year	depto	letra	puestos
2018	Islas del Ibicuy	S	26
2018	La Paz	A	1556
2018	La Paz	B	66
2018	La Paz	C	867
2018	La Paz	D	63
2018	La Paz	E	7
2018	La Paz	F	434
2018	La Paz	G	1026
2018	La Paz	H	218
2018	La Paz	I	100
2018	La Paz	J	48
2018	La Paz	K	110
2018	La Paz	L	60
2018	La Paz	M	77
2018	La Paz	N	150
2018	La Paz	Otro	13
2018	La Paz	P	782
2018	La Paz	Q	163
2018	La Paz	R	22
2018	La Paz	S	278
2018	Nogoyá	A	679
2018	Nogoyá	B	0
2018	Nogoyá	C	797
2018	Nogoyá	D	48
2018	Nogoyá	E	4
2018	Nogoyá	F	126
2018	Nogoyá	G	836
2018	Nogoyá	H	217
2018	Nogoyá	I	58
2018	Nogoyá	J	43
2018	Nogoyá	K	85
2018	Nogoyá	L	30
2018	Nogoyá	M	57
2018	Nogoyá	N	94
2018	Nogoyá	Otro	5
2018	Nogoyá	P	610
2018	Nogoyá	Q	86
2018	Nogoyá	R	20
2018	Nogoyá	S	108
2018	Paraná	A	1562
2018	Paraná	B	181
2018	Paraná	C	8306
2018	Paraná	D	658
2018	Paraná	E	75
2018	Paraná	F	3618
2018	Paraná	G	10591
2018	Paraná	H	2970
2018	Paraná	I	1159
2018	Paraná	J	1357
2018	Paraná	K	1910
2018	Paraná	L	388
2018	Paraná	M	754
2018	Paraná	N	2004
2018	Paraná	Otro	168
2018	Paraná	P	5046
2018	Paraná	Q	2565
2018	Paraná	R	791
2018	Paraná	S	2912
2018	San Salvador	A	503
2018	San Salvador	B	0
2018	San Salvador	C	545
2018	San Salvador	D	21
2018	San Salvador	E	5
2018	San Salvador	F	167
2018	San Salvador	G	262
2018	San Salvador	H	115
2018	San Salvador	I	24
2018	San Salvador	J	30
2018	San Salvador	K	55
2018	San Salvador	L	15
2018	San Salvador	M	32
2018	San Salvador	N	36
2018	San Salvador	Otro	9
2018	San Salvador	P	79
2018	San Salvador	Q	17
2018	San Salvador	R	0
2018	San Salvador	S	27
2018	Tala	A	463
2018	Tala	B	7
2018	Tala	C	260
2018	Tala	D	28
2018	Tala	E	16
2018	Tala	F	90
2018	Tala	G	378
2018	Tala	H	75
2018	Tala	I	37
2018	Tala	J	39
2018	Tala	K	51
2018	Tala	L	22
2018	Tala	M	34
2018	Tala	N	47
2018	Tala	Otro	10
2018	Tala	P	104
2018	Tala	Q	50
2018	Tala	R	8
2018	Tala	S	134
2018	Uruguay	A	688
2018	Uruguay	B	82
2018	Uruguay	C	3656
2018	Uruguay	D	163
2018	Uruguay	E	11
2018	Uruguay	F	879
2018	Uruguay	G	2308
2018	Uruguay	H	726
2018	Uruguay	I	362
2018	Uruguay	J	335
2018	Uruguay	K	532
2018	Uruguay	L	62
2018	Uruguay	M	162
2018	Uruguay	N	345
2018	Uruguay	Otro	70
2018	Uruguay	P	1558
2018	Uruguay	Q	450
2018	Uruguay	R	91
2018	Uruguay	S	578
2018	Victoria	A	474
2018	Victoria	B	12
2018	Victoria	C	569
2018	Victoria	D	25
2018	Victoria	E	0
2018	Victoria	F	167
2018	Victoria	G	796
2018	Victoria	H	150
2018	Victoria	I	285
2018	Victoria	J	71
2018	Victoria	K	84
2018	Victoria	L	32
2018	Victoria	M	62
2018	Victoria	N	69
2018	Victoria	Otro	12
2018	Victoria	P	426
2018	Victoria	Q	122
2018	Victoria	R	367
2018	Victoria	S	114
2018	Villaguay	A	809
2018	Villaguay	B	6
2018	Villaguay	C	481
2018	Villaguay	D	31
2018	Villaguay	E	9
2018	Villaguay	F	283
2018	Villaguay	G	833
2018	Villaguay	H	166
2018	Villaguay	I	72
2018	Villaguay	J	77
2018	Villaguay	K	94
2018	Villaguay	L	53
2018	Villaguay	M	58
2018	Villaguay	N	83
2018	Villaguay	Otro	7
2018	Villaguay	P	298
2018	Villaguay	Q	134
2018	Villaguay	R	16
2018	Villaguay	S	92
2019	Colón	A	941
2019	Colón	B	91
2019	Colón	C	3150
2019	Colón	D	18
2019	Colón	E	4
2019	Colón	F	217
2019	Colón	G	1584
2019	Colón	H	632
2019	Colón	I	550
2019	Colón	J	137
2019	Colón	K	164
2019	Colón	L	24
2019	Colón	M	104
2019	Colón	N	153
2019	Colón	Otro	19
2019	Colón	P	397
2019	Colón	Q	236
2019	Colón	R	85
2019	Colón	S	354
2019	Concordia	A	5897
2019	Concordia	B	98
2019	Concordia	C	2798
2019	Concordia	D	237
2019	Concordia	E	41
2019	Concordia	F	1644
2019	Concordia	G	3960
2019	Concordia	H	927
2019	Concordia	I	517
2019	Concordia	J	298
2019	Concordia	K	659
2019	Concordia	L	170
2019	Concordia	M	242
2019	Concordia	N	789
2019	Concordia	Otro	154
2019	Concordia	P	1816
2019	Concordia	Q	791
2019	Concordia	R	85
2019	Concordia	S	632
2019	Diamante	A	548
2019	Diamante	B	23
2019	Diamante	C	1311
2019	Diamante	D	22
2019	Diamante	E	22
2019	Diamante	F	186
2019	Diamante	G	1064
2019	Diamante	H	322
2019	Diamante	I	95
2019	Diamante	J	81
2019	Diamante	K	100
2019	Diamante	L	30
2019	Diamante	M	72
2019	Diamante	N	83
2019	Diamante	Otro	3
2019	Diamante	P	1122
2019	Diamante	Q	864
2019	Diamante	R	30
2019	Diamante	S	398
2019	Federación	A	1454
2019	Federación	B	11
2019	Federación	C	1530
2019	Federación	D	74
2019	Federación	E	12
2019	Federación	F	220
2019	Federación	G	1578
2019	Federación	H	225
2019	Federación	I	461
2019	Federación	J	113
2019	Federación	K	126
2019	Federación	L	34
2019	Federación	M	147
2019	Federación	N	96
2019	Federación	Otro	15
2019	Federación	P	583
2019	Federación	Q	176
2019	Federación	R	23
2019	Federación	S	200
2019	Federal	A	700
2019	Federal	B	0
2019	Federal	C	73
2019	Federal	D	5
2019	Federal	E	0
2019	Federal	F	191
2019	Federal	G	393
2019	Federal	H	82
2019	Federal	I	23
2019	Federal	J	10
2019	Federal	K	40
2019	Federal	L	11
2019	Federal	M	30
2019	Federal	N	32
2019	Federal	Otro	11
2019	Federal	P	188
2019	Federal	Q	40
2019	Federal	R	11
2019	Federal	S	82
2019	Feliciano	A	376
2019	Feliciano	B	0
2019	Feliciano	C	45
2019	Feliciano	D	4
2019	Feliciano	E	8
2019	Feliciano	F	60
2019	Feliciano	G	162
2019	Feliciano	H	26
2019	Feliciano	I	28
2019	Feliciano	J	6
2019	Feliciano	K	30
2019	Feliciano	L	10
2019	Feliciano	M	13
2019	Feliciano	N	14
2019	Feliciano	Otro	3
2019	Feliciano	P	77
2019	Feliciano	Q	14
2019	Feliciano	R	0
2019	Feliciano	S	14
2019	Gualeguay	A	992
2019	Gualeguay	B	5
2019	Gualeguay	C	1640
2019	Gualeguay	D	32
2019	Gualeguay	E	45
2019	Gualeguay	F	424
2019	Gualeguay	G	1069
2019	Gualeguay	H	292
2019	Gualeguay	I	101
2019	Gualeguay	J	91
2019	Gualeguay	K	129
2019	Gualeguay	L	50
2019	Gualeguay	M	105
2019	Gualeguay	N	97
2019	Gualeguay	Otro	15
2019	Gualeguay	P	528
2019	Gualeguay	Q	180
2019	Gualeguay	R	28
2019	Gualeguay	S	123
2019	Gualeguaychú	A	1404
2019	Gualeguaychú	B	58
2019	Gualeguaychú	C	3147
2019	Gualeguaychú	D	151
2019	Gualeguaychú	E	40
2019	Gualeguaychú	F	749
2019	Gualeguaychú	G	2713
2019	Gualeguaychú	H	988
2019	Gualeguaychú	I	495
2019	Gualeguaychú	J	311
2019	Gualeguaychú	K	428
2019	Gualeguaychú	L	127
2019	Gualeguaychú	M	301
2019	Gualeguaychú	N	488
2019	Gualeguaychú	Otro	35
2019	Gualeguaychú	P	1770
2019	Gualeguaychú	Q	462
2019	Gualeguaychú	R	189
2019	Gualeguaychú	S	504
2019	Islas del Ibicuy	A	75
2019	Islas del Ibicuy	B	40
2019	Islas del Ibicuy	C	167
2019	Islas del Ibicuy	D	8
2019	Islas del Ibicuy	E	9
2019	Islas del Ibicuy	F	41
2019	Islas del Ibicuy	G	108
2019	Islas del Ibicuy	H	132
2019	Islas del Ibicuy	I	8
2019	Islas del Ibicuy	J	4
2019	Islas del Ibicuy	K	10
2019	Islas del Ibicuy	L	5
2019	Islas del Ibicuy	M	5
2019	Islas del Ibicuy	N	33
2019	Islas del Ibicuy	P	69
2019	Islas del Ibicuy	Q	7
2019	Islas del Ibicuy	R	8
2019	Islas del Ibicuy	S	28
2019	La Paz	A	1609
2019	La Paz	B	67
2019	La Paz	C	866
2019	La Paz	D	61
2019	La Paz	E	6
2019	La Paz	F	379
2019	La Paz	G	1019
2019	La Paz	H	230
2019	La Paz	I	93
2019	La Paz	J	49
2019	La Paz	K	109
2019	La Paz	L	50
2019	La Paz	M	83
2019	La Paz	N	143
2019	La Paz	Otro	12
2019	La Paz	P	811
2019	La Paz	Q	173
2019	La Paz	R	22
2019	La Paz	S	281
2019	Nogoyá	A	662
2019	Nogoyá	B	0
2019	Nogoyá	C	769
2019	Nogoyá	D	50
2019	Nogoyá	E	4
2019	Nogoyá	F	124
2019	Nogoyá	G	822
2019	Nogoyá	H	227
2019	Nogoyá	I	57
2019	Nogoyá	J	37
2019	Nogoyá	K	77
2019	Nogoyá	L	29
2019	Nogoyá	M	57
2019	Nogoyá	N	89
2019	Nogoyá	Otro	0
2019	Nogoyá	P	624
2019	Nogoyá	Q	91
2019	Nogoyá	R	10
2019	Nogoyá	S	108
2019	Paraná	A	1565
2019	Paraná	B	181
2019	Paraná	C	8154
2019	Paraná	D	665
2019	Paraná	E	79
2019	Paraná	F	2902
2019	Paraná	G	10310
2019	Paraná	H	2937
2019	Paraná	I	1178
2019	Paraná	J	1288
2019	Paraná	K	1869
2019	Paraná	L	292
2019	Paraná	M	736
2019	Paraná	N	2033
2019	Paraná	Otro	127
2019	Paraná	P	5156
2019	Paraná	Q	2586
2019	Paraná	R	794
2019	Paraná	S	2849
2019	San Salvador	A	457
2019	San Salvador	B	0
2019	San Salvador	C	555
2019	San Salvador	D	20
2019	San Salvador	E	5
2019	San Salvador	F	126
2019	San Salvador	G	253
2019	San Salvador	H	119
2019	San Salvador	I	23
2019	San Salvador	J	32
2019	San Salvador	K	55
2019	San Salvador	L	13
2019	San Salvador	M	37
2019	San Salvador	N	39
2019	San Salvador	Otro	10
2019	San Salvador	P	72
2019	San Salvador	Q	17
2019	San Salvador	R	4
2019	San Salvador	S	27
2019	Tala	A	457
2019	Tala	B	8
2019	Tala	C	244
2019	Tala	D	27
2019	Tala	E	17
2019	Tala	F	69
2019	Tala	G	365
2019	Tala	H	85
2019	Tala	I	34
2019	Tala	J	38
2019	Tala	K	50
2019	Tala	L	24
2019	Tala	M	30
2019	Tala	N	51
2019	Tala	Otro	8
2019	Tala	P	112
2019	Tala	Q	49
2019	Tala	R	9
2019	Tala	S	133
2019	Uruguay	A	696
2019	Uruguay	B	77
2019	Uruguay	C	3676
2019	Uruguay	D	155
2019	Uruguay	E	11
2019	Uruguay	F	832
2019	Uruguay	G	2347
2019	Uruguay	H	739
2019	Uruguay	I	363
