year	depto	letra	clae2_desc	puestos
2014	Federal	K	Servicios financieros (excepto seguros y pensiones)	31
2014	Federal	L	Servicios inmobiliarios	38
2014	Federal	M	Servicios de arquitectura e ingeniería	4
2014	Federal	M	Servicios de publicidad e investigación de mercado	NA
2014	Federal	M	Servicios jurídicos y de contabilidad	24
2014	Federal	M	Servicios veterinarios	NA
2014	Federal	M	Servicios y asesoramiento de dirección y gestión empresarial	4
2014	Federal	N	Actividades administrativas y de apoyo a oficinas y empresas	4
2014	Federal	N	Actividades de investigación y seguridad	7
2014	Federal	N	Alquiler y arrendamiento	4
2014	Federal	N	Servicios a edificios y actividades de jardinería	10
2014	Federal	N	Servicios de obtención y dotación de personal	4
2014	Federal	P	Enseñanza	141
2014	Federal	Q	Actividades de atención en instituciones	3
2014	Federal	Q	Servicios de salud humana	37
2014	Federal	R	Actividades deportivas, recreativas y de entretenimiento	6
2014	Federal	R	Juegos de azar y apuestas	5
2014	Federal	R	Servicios artísticos y de espectáculos	NA
2014	Federal	R	Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.	NA
2014	Federal	S	Otros servicios personales	7
2014	Federal	S	Reparación de computadoras y equipos de uso doméstico	NA
2014	Federal	S	Servicios de asociaciones	65
2014	Feliciano	Otro	Otros sectores	7
2014	Feliciano	A	Agricultura, ganadería, caza y servicios relacionados	339
2014	Feliciano	A	Pesca y acuicultura	NA
2014	Feliciano	A	Silvicultura y explotación forestal	NA
2014	Feliciano	B	Extracción de otros minerales	NA
2014	Feliciano	C	Elaboración de productos alimenticios	24
2014	Feliciano	C	Elaboración de productos de cuero y calzado	3
2014	Feliciano	C	Elaboración de productos de madera	NA
2014	Feliciano	C	Elaboración de productos textiles	NA
2014	Feliciano	C	Fabricación de metales comunes	NA
2014	Feliciano	C	Fabricación de muebles	NA
2014	Feliciano	C	Fabricación de productos de caucho y vidrio	NA
2014	Feliciano	C	Fabricación de productos de vidrio y otros minerales no metálicos	NA
2014	Feliciano	C	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	3
2014	Feliciano	C	Otras industrias manufactureras	NA
2014	Feliciano	D	Suministro de electricidad, gas, vapor y aire acondicionado	NA
2014	Feliciano	E	Captación, tratamiento y distribución de agua	10
2014	Feliciano	F	Actividades especializadas de construcción 	10
2014	Feliciano	F	Construcción de edificios y partes	45
2014	Feliciano	F	Obras de ingeniería civil	38
2014	Feliciano	G	Comercio al por mayor excepto autos y motos	61
2014	Feliciano	G	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	7
2014	Feliciano	G	Comercio al por menor excepto autos y motos	97
2014	Feliciano	H	Servicio de correo y mensajería	4
2014	Feliciano	H	Transporte terrestre y por tuberías	8
2014	Feliciano	I	Servicios de alojamiento	28
2014	Feliciano	I	Servicios de expendio de alimentos y bebidas	3
2014	Feliciano	J	Programación y transmisiones de TV y radio	4
2014	Feliciano	J	Servicios audiovisuales	NA
2014	Feliciano	J	Servicios de programación, consultoría informática y actividades conexas	NA
2014	Feliciano	K	Servicios auxiliares de la actividad financiera y de seguros	NA
2014	Feliciano	K	Servicios de seguros, reaseguros y pensiones	3
2014	Feliciano	K	Servicios financieros (excepto seguros y pensiones)	18
2014	Feliciano	L	Servicios inmobiliarios	21
2014	Feliciano	M	Servicios de arquitectura e ingeniería	NA
2014	Feliciano	M	Servicios de publicidad e investigación de mercado	4
2014	Feliciano	M	Servicios jurídicos y de contabilidad	14
2014	Feliciano	M	Servicios y asesoramiento de dirección y gestión empresarial	NA
2014	Feliciano	N	Actividades administrativas y de apoyo a oficinas y empresas	6
2014	Feliciano	N	Actividades de investigación y seguridad	3
2014	Feliciano	N	Alquiler y arrendamiento	3
2014	Feliciano	N	Servicios a edificios y actividades de jardinería	6
2014	Feliciano	N	Servicios de obtención y dotación de personal	4
2014	Feliciano	P	Enseñanza	70
2014	Feliciano	Q	Actividades de atención en instituciones	NA
2014	Feliciano	Q	Servicios de salud humana	9
2014	Feliciano	R	Actividades deportivas, recreativas y de entretenimiento	NA
2014	Feliciano	R	Juegos de azar y apuestas	NA
2014	Feliciano	R	Servicios artísticos y de espectáculos	NA
2014	Feliciano	S	Otros servicios personales	NA
2014	Feliciano	S	Servicios de asociaciones	12
2014	Gualeguay	Otro	Otros sectores	16
2014	Gualeguay	A	Agricultura, ganadería, caza y servicios relacionados	1020
2014	Gualeguay	A	Pesca y acuicultura	3
2014	Gualeguay	A	Silvicultura y explotación forestal	3
2014	Gualeguay	B	Actividades de apoyo al petróleo y la minería	3
