fecha,clae6,puestos
2007-02-01,51000,179
2007-02-01,61000,8167
2007-02-01,62000,889
2007-02-01,71000,-99
2007-02-01,72910,1477
2007-02-01,72990,4012
2007-02-01,81100,455
2007-02-01,81200,773
2007-02-01,81300,3941
2007-02-01,81400,467
2007-02-01,89110,-99
2007-02-01,89120,637
2007-02-01,89200,55
2007-02-01,89300,951
2007-02-01,89900,2891
2007-02-01,91000,39945
2007-02-01,99000,854
2007-02-01,101011,18536
2007-02-01,101012,12555
2007-02-01,101013,279
2007-02-01,101020,13903
2007-02-01,101030,11005
2007-02-01,101040,2841
2007-02-01,101091,1652
2007-02-01,101099,3049
2007-02-01,102001,9199
2007-02-01,102002,224
2007-02-01,102003,252
2007-02-01,103011,8888
2007-02-01,103012,1476
2007-02-01,103020,4401
2007-02-01,103030,2285
2007-02-01,103091,1671
2007-02-01,103099,8878
2007-02-01,104011,10392
2007-02-01,104012,1632
2007-02-01,104013,5239
2007-02-01,104020,52
2007-02-01,105010,10979
2007-02-01,105020,6592
2007-02-01,105030,5155
2007-02-01,105090,6457
2007-02-01,106110,6329
2007-02-01,106120,2197
2007-02-01,106131,1296
2007-02-01,106139,554
2007-02-01,106200,662
2007-02-01,107110,9157
2007-02-01,107121,11454
2007-02-01,107129,15972
2007-02-01,107200,10441
2007-02-01,107301,3034
2007-02-01,107309,12510
2007-02-01,107410,5978
2007-02-01,107420,1546
2007-02-01,107500,415
2007-02-01,107911,2856
2007-02-01,107912,842
2007-02-01,107920,2507
2007-02-01,107930,5492
2007-02-01,107991,809
2007-02-01,107992,195
2007-02-01,107999,15760
2007-02-01,108000,4039
2007-02-01,109000,305
2007-02-01,110100,1711
2007-02-01,110211,894
2007-02-01,110212,21561
2007-02-01,110290,689
2007-02-01,110300,6205
2007-02-01,110411,4044
2007-02-01,110412,4974
2007-02-01,110420,8490
2007-02-01,110491,660
2007-02-01,110492,7807
2007-02-01,120010,2923
2007-02-01,120091,4016
2007-02-01,120099,895
2007-02-01,131110,1832
2007-02-01,131120,621
